Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-11-14,14.229999542236328,14.350000381469727,14.0600004196167,14.0600004196167,57691600,0.15,0
2022-11-15,14.289999961853027,14.579999923706055,14.199999809265137,14.300000190734863,61835700,0.0,0
2022-11-16,14.100000381469727,14.170000076293945,13.84000015258789,13.899999618530273,47484200,0.0,0
2022-11-17,13.65999984741211,13.90999984741211,13.550000190734863,13.90999984741211,54317900,0.0,0
2022-11-18,14.079999923706055,14.130000114440918,13.819999694824219,13.989999771118164,37082800,0.0,0
2022-11-21,13.859999656677246,14.039999961853027,13.65999984741211,13.949999809265137,34087100,0.0,0
2022-11-22,14.050000190734863,14.149999618530273,13.979999542236328,14.069999694824219,28738800,0.0,0
2022-11-23,14.0,14.0600004196167,13.850000381469727,14.029999732971191,25974200,0.0,0
2022-11-25,13.960000038146973,14.109999656677246,13.899999618530273,14.079999923706055,12980900,0.0,0
2022-11-28,13.9399995803833,13.979999542236328,13.720000267028809,13.744999885559082,14599154,0.0,0
